"_id";"sending_timestamp";"lokatorsID";"temp";"mem";"CPU_load_15";"CPU_load_1";"CPU_load_5"
"78456be13c12cb20ee49041149d948c1";"2017-07-23T08:15:51.408Z";"test-1";43.5;944;0.01;0.05;0.06
"0216b3b6a8046b84e2d33095fd1facb0";"2017-07-23T08:10:51.103Z";"test-1";44;944;0.01;0.08;0.05
"78456be13c12cb20ee49041149505fd8";"2017-07-23T08:05:50.836Z";"test-1";44;944;0.01;0.02;0.05
"cbb616bdc1c6d891fd12715c3ca22dd3";"2017-07-23T08:00:50.646Z";"test-1";44;944;0.02;0.13;0.09
"d17ed7204d153ae36472a628e35c15d7";"2017-07-23T07:55:50.421Z";"test-1";44;944;0.01;0.01;0.05
"d17ed7204d153ae36472a628e3596b0d";"2017-07-23T07:50:50.190Z";"test-1";44;944;0.01;0.16;0.06
"d3f6f1944f36be0602b91498e074ae87";"2017-07-23T07:45:49.980Z";"test-1";44;944;0;0.04;0.05
"a05abbbbd2d217c5df55df4982c71d6b";"2017-07-23T07:40:49.761Z";"test-1";44.5;944;0.01;0.06;0.06
"cc24ba634d380afa6369ce8756dac1d6";"2017-07-23T07:35:49.525Z";"test-1";44.5;944;0.02;0.01;0.06
"a6054a3935dcbb6b14fd98c7e467af4b";"2017-07-23T07:30:49.336Z";"test-1";43.5;944;0.01;0.09;0.06
"f1b6ed7b3adc46850769d7ac20adc0f0";"2017-07-23T07:25:49.034Z";"test-1";43.5;944;0;0;0.02
"12125a3181a08a128f05987d28ba451d";"2017-07-23T07:20:48.814Z";"test-1";43.5;944;0;0.04;0.02
"12125a3181a08a128f05987d28b97d26";"2017-07-23T07:15:48.492Z";"test-1";43.5;944;0;0;0.02
"a6054a3935dcbb6b14fd98c7e40656e5";"2017-07-23T07:10:48.186Z";"test-1";42.9;944;0;0.08;0.04
"cc24ba634d380afa6369ce87567260a3";"2017-07-23T07:05:47.908Z";"test-1";42.9;944;0;0;0.02
"a6054a3935dcbb6b14fd98c7e4048b39";"2017-07-23T07:00:47.647Z";"test-1";43.5;944;0.01;0.08;0.04
"f1b6ed7b3adc46850769d7ac20a43bc4";"2017-07-23T06:55:47.350Z";"test-1";43.5;944;0.01;0.02;0.06
"12125a3181a08a128f05987d28b04e2b";"2017-07-23T06:50:47.017Z";"test-1";43.5;944;0.01;0.15;0.06
"f09e31e65e83b16411622f25317ea447";"2017-07-23T06:45:46.717Z";"test-1";42.9;944;0;0.01;0.04
"ceff00d1f1d2bc9797d6fa99d188bf30";"2017-07-23T06:40:46.431Z";"test-1";42.9;944;0;0;0.03
"cc24ba634d380afa6369ce87563359f3";"2017-07-23T06:35:46.141Z";"test-1";43.5;944;0.02;0.02;0.06
"ceff00d1f1d2bc9797d6fa99d1868707";"2017-07-23T06:30:45.890Z";"test-1";42.9;944;0.02;0.14;0.07
"cc24ba634d380afa6369ce875630df3b";"2017-07-23T06:25:45.624Z";"test-1";43.5;944;0.02;0.04;0.07
"cc24ba634d380afa6369ce87562c35fe";"2017-07-23T06:20:45.304Z";"test-1";43.5;944;0;0;0
"385e0a1b677e5362a628a97082952827";"2017-07-23T06:15:45.037Z";"test-1";44;944;0;0.01;0.04
"ceff00d1f1d2bc9797d6fa99d176734e";"2017-07-23T06:10:44.778Z";"test-1";43.5;944;0.02;0.2;0.05
"cc24ba634d380afa6369ce875626caed";"2017-07-23T06:05:44.519Z";"test-1";42.9;944;0;0;0
"385e0a1b677e5362a628a97082812e36";"2017-07-23T06:00:44.247Z";"test-1";43.5;944;0;0;0.02
"54e1240b181368c01575a7e9fdb6900e";"2017-07-23T05:55:43.976Z";"test-1";43.5;944;0;0.02;0.05
"54e1240b181368c01575a7e9fdb4be1c";"2017-07-23T05:50:43.698Z";"test-1";43.5;944;0.01;0.17;0.06
"12125a3181a08a128f05987d28636289";"2017-07-23T05:45:43.400Z";"test-1";44;944;0;0;0
"385e0a1b677e5362a628a970827b761b";"2017-07-23T05:40:43.140Z";"test-1";43.5;944;0;0;0.02
"cc24ba634d380afa6369ce875604da7d";"2017-07-23T05:35:42.879Z";"test-1";43.5;944;0.01;0.02;0.06
"ce79ab9df02ab163d35f83f12b94ace4";"2017-07-23T05:30:42.633Z";"test-1";42.9;944;0.01;0.17;0.05
"54e1240b181368c01575a7e9fdb0fcdc";"2017-07-23T05:25:42.319Z";"test-1";43.5;944;0.01;0.08;0.04
"385e0a1b677e5362a628a97082788c70";"2017-07-23T05:20:42.078Z";"test-1";43.5;944;0;0.06;0.03
"12125a3181a08a128f05987d2856c902";"2017-07-23T05:15:41.803Z";"test-1";43.5;944;0.02;0.11;0.07
"ceff00d1f1d2bc9797d6fa99d136fdef";"2017-07-23T05:10:41.540Z";"test-1";43.5;944;0.01;0.15;0.04
"d947381bbbfedbb0843e1b29a9f2409a";"2017-07-23T05:05:41.299Z";"test-1";44;944;0;0.02;0.02
"d947381bbbfedbb0843e1b29a9f0f864";"2017-07-23T05:00:41.042Z";"test-1";43.5;944;0;0;0.03
"54e1240b181368c01575a7e9fda44adb";"2017-07-23T04:55:40.757Z";"test-1";43.5;944;0.01;0.06;0.07
"385e0a1b677e5362a628a9708271c34d";"2017-07-23T04:50:40.507Z";"test-1";43.5;944;0.01;0.18;0.06
"385e0a1b677e5362a628a97082563a59";"2017-07-23T04:45:40.216Z";"test-1";43.5;944;0;0;0.01
"12125a3181a08a128f05987d28290bd5";"2017-07-23T04:40:39.980Z";"test-1";43.5;944;0;0;0.03
"385e0a1b677e5362a628a9708253f665";"2017-07-23T04:35:39.725Z";"test-1";43.5;944;0.02;0.04;0.08
"add9232a5e068136ad32718cbd9fac2b";"2017-07-23T04:30:39.489Z";"test-1";43.5;944;0.01;0.04;0.04
"937dfb71e3a54bc22404fccac0ced2d1";"2017-07-23T04:25:39.198Z";"test-1";43.5;944;0;0;0.02
"12125a3181a08a128f05987d2824f231";"2017-07-23T04:20:38.979Z";"test-1";43.5;944;0;0.03;0.05
"743199cd1f44b7ee11124f53cdad55ff";"2017-07-23T04:15:38.730Z";"test-1";44;944;0;0.03;0.05
"add9232a5e068136ad32718cbd994218";"2017-07-23T04:10:38.526Z";"test-1";43.5;944;0;0.01;0.03
"add9232a5e068136ad32718cbd98a677";"2017-07-23T04:05:38.262Z";"test-1";44;944;0.02;0.05;0.06
"937dfb71e3a54bc22404fccac0bd939b";"2017-07-23T04:00:38.020Z";"test-1";44;944;0.04;0.31;0.12
"54e1240b181368c01575a7e9fd9960ef";"2017-07-23T03:55:37.738Z";"test-1";44;944;0.03;0.05;0.09
"743199cd1f44b7ee11124f53cd6aa585";"2017-07-23T03:50:37.523Z";"test-1";44;944;0.01;0.02;0.05
"937dfb71e3a54bc22404fccac081e1fd";"2017-07-23T03:45:37.263Z";"test-1";43.5;944;0.02;0.05;0.06
"743199cd1f44b7ee11124f53cd690959";"2017-07-23T03:40:37.038Z";"test-1";42.9;944;0.02;0;0.04
"54e1240b181368c01575a7e9fd95875e";"2017-07-23T03:35:36.790Z";"test-1";42.4;944;0.04;0.11;0.12
"937dfb71e3a54bc22404fccac07d436f";"2017-07-23T03:30:36.539Z";"test-1";42.9;944;0;0;0.03
"add9232a5e068136ad32718cbd5e7a33";"2017-07-23T03:25:36.292Z";"test-1";42.9;944;0.02;0.06;0.06
"f1550fd7594214bb7aa05ef7c48116ce";"2017-07-23T03:20:36.062Z";"test-1";42.9;944;0.02;0.04;0.07
"937dfb71e3a54bc22404fccac006f5c0";"2017-07-23T03:15:35.840Z";"test-1";42.4;944;0.01;0.03;0.06
"54e1240b181368c01575a7e9fd91f90e";"2017-07-23T03:10:35.583Z";"test-1";42.9;944;0.01;0.03;0.06
"107b0b689d9221769b5dc0d475d1507c";"2017-07-23T03:05:35.337Z";"test-1";42.9;944;0.03;0.14;0.08
"54e1240b181368c01575a7e9fd89096a";"2017-07-23T03:00:35.085Z";"test-1";42.9;944;0.03;0.1;0.09
"54e1240b181368c01575a7e9fd87f5b2";"2017-07-23T02:55:34.824Z";"test-1";42.9;944;0.01;0.04;0.05
"54e1240b181368c01575a7e9fd83c622";"2017-07-23T02:50:34.561Z";"test-1";42.9;944;0;0;0
"8796acdd7202f1dd94966f0ba7cd682c";"2017-07-23T02:45:34.346Z";"test-1";42.9;944;0;0.01;0.03
"54e1240b181368c01575a7e9fd81c7e1";"2017-07-23T02:40:34.088Z";"test-1";43.5;944;0.01;0;0.04
"ec3cec98029174372100d1b8322270d4";"2017-07-23T02:35:33.850Z";"test-1";43.5;944;0.02;0.19;0.1
"e78f8c49dfea6747d16b8788319acc72";"2017-07-23T02:30:33.552Z";"test-1";42.9;944;0.01;0.1;0.04
"8796acdd7202f1dd94966f0ba76d72ce";"2017-07-23T02:25:33.329Z";"test-1";42.4;944;0.01;0.08;0.05
"107b0b689d9221769b5dc0d4754c4d1e";"2017-07-23T02:20:33.064Z";"test-1";42.9;944;0;0.04;0.06
"107b0b689d9221769b5dc0d4754b5d09";"2017-07-23T02:15:32.814Z";"test-1";43.5;944;0.01;0.04;0.06
"8796acdd7202f1dd94966f0ba76a4af3";"2017-07-23T02:10:32.511Z";"test-1";42.9;944;0.01;0.09;0.07
"0c482e8ed7da6c4cbf6ba223638c1cb7";"2017-07-23T02:05:32.280Z";"test-1";42.9;944;0;0.02;0.04
"54e1240b181368c01575a7e9fd7d0e00";"2017-07-23T02:00:31.980Z";"test-1";42.9;944;0.01;0.15;0.09
"8796acdd7202f1dd94966f0ba7685756";"2017-07-23T01:55:31.780Z";"test-1";42.9;944;0.01;0.04;0.06
"0c482e8ed7da6c4cbf6ba223637e4db1";"2017-07-23T01:50:31.477Z";"test-1";42.9;944;0;0.06;0.02
"107b0b689d9221769b5dc0d4751deca1";"2017-07-23T01:45:31.237Z";"test-1";42.9;944;0.02;0;0.04
"107b0b689d9221769b5dc0d4751cf997";"2017-07-23T01:40:30.975Z";"test-1";43.5;944;0.03;0.04;0.07
"54e1240b181368c01575a7e9fd7044bc";"2017-07-23T01:35:30.709Z";"test-1";42.9;944;0.03;0.05;0.09
"54e1240b181368c01575a7e9fd6fc11e";"2017-07-23T01:30:30.414Z";"test-1";42.9;944;0.03;0.22;0.1
"8796acdd7202f1dd94966f0ba7582e8c";"2017-07-23T01:25:30.193Z";"test-1";42.4;944;0;0;0.01
"107b0b689d9221769b5dc0d4751a2dd4";"2017-07-23T01:20:29.893Z";"test-1";42.9;944;0;0;0.04
"e78f8c49dfea6747d16b878831679c6e";"2017-07-23T01:15:29.601Z";"test-1";42.9;944;0.02;0.06;0.08
